"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-3.539912084	-3.39639534881629	-3.1090163920316	-2.8051271368488
-3.53313765906907	-3.3918963226915	-3.08781797830676	-2.8110393686687
-3.52636323413814	-3.37672209355956	-3.08389323130846	-2.79599548976026
-3.51958880920721	-3.39955599987555	-3.07721125379997	-2.77551509978342
-3.51281438427628	-3.3678406494202	-3.07493344091694	-2.77402909877311
-3.50603995934535	-3.35175389185184	-3.06586419324185	-2.76202614688598
-3.49926553441441	-3.32960055298879	-3.05467751584286	-2.7699050098697
-3.49249110948348	-3.34583735467881	-3.05207544824926	-2.75044943418288
-3.48571668455255	-3.32211019296921	-3.04622447014997	-2.76286013693245
-3.47894225962162	-3.32703019610259	-3.04181197856668	-2.73868198238082
-3.47216783469069	-3.33816351877231	-3.03550263170361	-2.77369928537701
-3.46539340975976	-3.32531916394429	-3.03280259332576	-2.71252864018559
-3.45861898482883	-3.32405199451038	-3.01729805357086	-2.74257959771188
-3.4518445598979	-3.32259442875517	-3.01025996931244	-2.71666502446249
-3.44507013496697	-3.30555342027388	-3.01599836100406	-2.7189867856185
-3.43829571003604	-3.29213171968157	-2.99244489910247	-2.71165262944373
-3.4315212851051	-3.31081837757013	-2.99497608072995	-2.69695686845269
-3.42474686017417	-3.28425526426357	-2.98551355433707	-2.69881997948946
-3.41797243524324	-3.27437784382162	-2.98313569730079	-2.67775632350903
-3.41119801031231	-3.27684726584848	-2.97838970816476	-2.69212972234519
-3.40442358538138	-3.26403642327249	-2.97685630318203	-2.67371116084714
-3.39764916045045	-3.2609813533322	-2.97087293595944	-2.64527060803534
-3.39087473551952	-3.24957813935945	-2.95116317440534	-2.68528570845873
-3.38410031058859	-3.24053428004968	-2.9541640337935	-2.64074273989795
-3.37732588565766	-3.23699851129155	-2.94568504264317	-2.65888374794363
-3.37055146072673	-3.22747746934369	-2.95367629548736	-2.64829655906104
-3.3637770357958	-3.22702621788839	-2.94877998317419	-2.64572256818905
-3.35700261086486	-3.23806118878071	-2.9208118079535	-2.62843988849685
-3.35022818593393	-3.22368527030032	-2.91495930755922	-2.60063713692402
-3.343453761003	-3.1952086270047	-2.91157418815218	-2.60785529618022
-3.33667933607207	-3.18284246034836	-2.91418698620146	-2.62690586367368
-3.32990491114114	-3.19280069087677	-2.91404689444438	-2.60643376596598
-3.32313048621021	-3.1970142077135	-2.8856438906599	-2.59145942948143
-3.31635606127928	-3.16657660599714	-2.90551490940522	-2.60304024416684
-3.30958163634835	-3.15615868370368	-2.87296031550553	-2.60368732615037
-3.30280721141742	-3.16977374767272	-2.87412042919442	-2.60111526871284
-3.29603278648649	-3.17657360427513	-2.86380243603632	-2.58697050045341
-3.28925836155556	-3.15219780358906	-2.86806271275484	-2.56238957042809
-3.28248393662462	-3.14255680450498	-2.86731239244826	-2.56676076532271
