"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-3.539912084	-5.6877097091069	-3.53598922286834	-1.43294508220058
-3.53284331149349	-5.6062923160141	-3.53289862982918	-1.38988850389554
-3.52577453898699	-5.59265424994743	-3.49972788999023	-1.45328071174343
-3.51870576648048	-5.63650706677224	-3.51737308692699	-1.44344015151589
-3.51163699397397	-5.61388826747844	-3.51833128496558	-1.41886629610749
-3.50456822146747	-5.60346600951011	-3.51076016544292	-1.42122528542066
-3.49749944896096	-5.57781311350955	-3.50128356090676	-1.45847020354137
-3.49043067645445	-5.54749759588884	-3.47797010692863	-1.41155674886934
-3.48336190394795	-5.53492174521243	-3.47493498653567	-1.41550763170418
-3.47629313144144	-5.51365135928639	-3.47224708734302	-1.41639798459071
-3.46922435893493	-5.55589284679116	-3.46364206579964	-1.41207001720979
-3.46215558642843	-5.57564131594507	-3.45321635576978	-1.4295854896948
-3.45508681392192	-5.53032305562326	-3.46605367245633	-1.46169753987048
-3.44801804141542	-5.51862195981164	-3.43934396147119	-1.31879051236112
-3.44094926890891	-5.5039538246706	-3.42306764801789	-1.36705036234371
-3.4338804964024	-5.52666290496245	-3.4360077915325	-1.36896791108423
-3.4268117238959	-5.45391676221983	-3.40403690484431	-1.39337731696967
-3.41974295138939	-5.54253788866196	-3.39406003626009	-1.40244047171247
-3.41267417888288	-5.4103118446155	-3.3963321432769	-1.40859982608637
-3.40560540637638	-5.42560288969756	-3.39383911488012	-1.35649864177456
-3.39853663386987	-5.38016106094405	-3.41106638312824	-1.42957025077815
-3.39146786136336	-5.39615299651627	-3.38793553558263	-1.35307984277529
-3.38439908885686	-5.41426006211021	-3.37960578366656	-1.36186313117061
-3.37733031635035	-5.37556609717922	-3.36740360404713	-1.40318698183651
-3.37026154384384	-5.33749187385829	-3.35883320843759	-1.38328877712343
-3.36319277133734	-5.40207028578581	-3.35895184995886	-1.33698266845205
-3.35612399883083	-5.35529588499941	-3.35451358395836	-1.37317134457073
-3.34905522632432	-5.32168157332306	-3.31897017229464	-1.30231627247058
-3.34198645381782	-5.35492705144551	-3.32228971515382	-1.41852931166218
-3.33491768131131	-5.28246625799475	-3.29734309488065	-1.31888027498639
-3.3278489088048	-5.31288801418796	-3.30328862104279	-1.25934298130269
-3.3207801362983	-5.36291524291492	-3.29965197383605	-1.34080930413649
-3.31371136379179	-5.33075365176548	-3.29784193385055	-1.30717646681697
-3.30664259128529	-5.31121044077445	-3.25519956592121	-1.30417059887939
-3.29957381877878	-5.26261342023689	-3.25386176679487	-1.32664425308256
-3.29250504627227	-5.27103855600079	-3.26650682551569	-1.26573541835345
-3.28543627376577	-5.25056201425561	-3.2443389126167	-1.32768008840518
-3.27836750125926	-5.2242870576875	-3.22711375716859	-1.30837386116743
-3.27129872875275	-5.18967356857768	-3.27506627554103	-1.25098090677642
-3.26422995624625	-5.15671908884126	-3.23751213791627	-1.27498640122474
-3.25716118373974	-5.22883103916517	-3.23369865148185	-1.29911404846447
-3.25009241123323	-5.24754278042756	-3.23825476758867	-1.31368931279998
-3.24302363872673	-5.10709434178623	-3.2169868532009	-1.22195828837051
-3.23595486622022	-5.13399069562719	-3.1945367652879	-1.30598620097488
-3.22888609371371	-5.16842151857637	-3.1988074788044	-1.30793023267787
-3.22181732120721	-5.08197168388728	-3.19903490234068	-1.20763811303456
-3.2147485487007	-5.14547624045452	-3.16488934178136	-1.27409025965112
-3.20767977619419	-5.15204831567699	-3.15842251450325	-1.26941320699206
-3.20061100368769	-5.05888470349634	-3.15798146033736	-1.29802517592049
-3.19354223118118	-5.05720607937829	-3.16111952610769	-1.27020501281645
-3.18647345867467	-4.99079696964339	-3.15721685669254	-1.21443233383866
-3.17940468616817	-5.03830031730268	-3.14844195763207	-1.2053152912014
-3.17233591366166	-5.02236995186958	-3.14057247867154	-1.24859314507613
-3.16526714115516	-5.0573686095306	-3.13089067544809	-1.23875850724044
-3.15819836864865	-5.06411133191154	-3.10252306784674	-1.20892717208042
-3.15112959614214	-4.96988600441146	-3.12003002489884	-1.27572050394071
-3.14406082363564	-4.9786057353157	-3.08278718851848	-1.22149428957307
-3.13699205112913	-5.01349401796672	-3.06573957170301	-1.25972849353612
-3.12992327862262	-4.97121513620255	-3.09338284062155	-1.17474858421146
-3.12285450611612	-4.93490027374012	-3.08532579090262	-1.25653255810001
-3.11578573360961	-4.89163524263827	-3.08122751029118	-1.15911478760378
-3.1087169611031	-5.00177868844411	-3.06148867594756	-1.19322630416678
-3.1016481885966	-4.90364232553239	-3.06591776174201	-1.23228314800557
-3.09457941609009	-4.809039767699	-3.05360947288227	-1.20441258194503
-3.08751064358358	-4.88703232456067	-3.03558977327712	-1.16509039972239
-3.08044187107708	-4.86919500933117	-3.05210997641196	-1.18231500704004
-3.07337309857057	-4.87378391288084	-3.03246296031408	-1.19214808185215
