"mitochan"	"lwrNorm"	"medNorm"	"uprNorm"
-3.539912084	-2.67701036192241	-2.35056141352815	-2.04475030070153
-3.53323299915616	-2.64768636306347	-2.34633567037688	-2.04423670941268
-3.52655391431231	-2.66067404911157	-2.34501562161097	-2.04936431412971
-3.51987482946847	-2.65016044778014	-2.33930114238701	-2.04208144070309
-3.51319574462462	-2.6291526110067	-2.33549280026411	-2.03597886600366
-3.50651665978078	-2.65343599219467	-2.32038622082482	-2.02387934750998
-3.49983757493694	-2.62979992200276	-2.32052485512773	-2.03407185411544
-3.49315849009309	-2.61970116163883	-2.30727328440464	-2.03799946881576
-3.48647940524925	-2.60804865637667	-2.304661144432	-1.98613314220975
-3.47980032040541	-2.60331606451976	-2.31091974688584	-2.01765284914384
-3.47312123556156	-2.59702443501561	-2.29257631568016	-1.99845774823621
-3.46644215071772	-2.61003286942838	-2.29574718871244	-1.99696992857769
-3.45976306587387	-2.56788382478546	-2.28406413470585	-1.99162599801022
-3.45308398103003	-2.55315527701884	-2.27900896318131	-1.98493184757737
-3.44640489618619	-2.55665408190358	-2.271725510112	-1.98782270413669
-3.43972581134234	-2.54133528646751	-2.26943583337307	-1.9682129309235
-3.4330467264985	-2.55008636488473	-2.26454103651305	-1.95352564101585
-3.42636764165465	-2.56095924654957	-2.258109178471	-1.96067852028099
-3.41968855681081	-2.55485106194618	-2.25004687996461	-1.97056709568818
-3.41300947196697	-2.57814267985938	-2.25153999210403	-1.96232855493387
-3.40633038712312	-2.53050352336956	-2.24978446652069	-1.96720848873611
-3.39965130227928	-2.52414882630162	-2.23391684272263	-1.93929306683921
-3.39297221743544	-2.5184494101551	-2.22890385098607	-1.95614363375546
-3.38629313259159	-2.52017612713721	-2.22742809321656	-1.93646587862897
-3.37961404774775	-2.52382634867562	-2.22138931349647	-1.93142310181707
-3.3729349629039	-2.50254523664125	-2.21238362362097	-1.94163828904704
-3.36625587806006	-2.50937912476612	-2.20764518765637	-1.91639484339226
-3.35957679321622	-2.51988346282529	-2.19934902001022	-1.92780772989271
-3.35289770837237	-2.47833440099582	-2.18708383631906	-1.91461513224143
-3.34621862352853	-2.47495725928451	-2.19128417560851	-1.88364984342396
-3.33953953868468	-2.48213280248061	-2.18562792436701	-1.90164692186519
-3.33286045384084	-2.47833737116826	-2.18070488136426	-1.89896156715479
-3.326181368997	-2.45088120502724	-2.17146622277273	-1.86429743360226
-3.31950228415315	-2.46284942743049	-2.16864606807713	-1.88309718652432
-3.31282319930931	-2.46175748386233	-2.15924961029513	-1.88049339873007
-3.30614411446547	-2.44999054688763	-2.15690554936793	-1.86391912483426
